ERR3579673,Negative distance proportion based on edit distance,DNA damage,,ERR3579674,Negative distance proportion based on edit distance,DNA damage,,ERR3579688,Negative distance proportion based on edit distance,DNA damage,,ERR3579745,Negative distance proportion based on edit distance,DNA damage,,ERR3579746,Negative distance proportion based on edit distance,DNA damage,,ERR3579747,Negative distance proportion based on edit distance,DNA damage,,ERR3579748,Negative distance proportion based on edit distance,DNA damage,,ERR3579753,Negative distance proportion based on edit distance,DNA damage,,ERR3579827,Negative distance proportion based on edit distance,DNA damage,,ERR3678727,Negative distance proportion based on edit distance,DNA damage,,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
50S ribosomal protein L2,1,yes,,50S ribosomal protein L4,1,yes,,30S ribosomal protein S17,1,Yes,,50S ribosomal protein L22,1,yes,,30S ribosomal protein S4,1,Yes,,50S ribosomal protein L2,1,No,,30S ribosomal protein S3,1,yes,,50S ribosomal protein L4,1,yes,,50S ribosomal protein L11,1,No,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,1,No,,,50S ribosomal protein L2
30S ribosomal protein S3,1,yes,,,,,,50S ribosomal protein L14,1,Yes,,30S ribosomal protein S14,1,yes,,50S ribosomal protein L5,1,No,,50S ribosomal protein L17,1,No,,50S ribosomal protein L22,1,yes,,preprotein translocase subunit SecE,1,yes,,,,,,50S ribosomal protein L2,1,No,,,30S ribosomal protein S9 RpsI
30S ribosomal protein S1,1,yes,,,,,,50S ribosomal protein L34,0.953488372,No,,50S ribosomal protein L16,1,yes,,30S ribosomal protein S17,1,Yes,,30S ribosomal protein S2,1,No,,50S ribosomal protein L34,1,yes,,50S ribosomal protein L3,1,yes,,,,,,30S ribosomal protein S9 RpsI,1,No,,,single-strand binding protein
50S ribosomal protein L3,1,yes,,,,,,acyl carrier protein,0.935483871,Yes,,50S ribosomal protein L11,1,No,,phosphoglyceromutase,1,Yes,,30S ribosomal protein S10,1,No,,30S ribosomal protein S18,1,yes,,30S ribosomal protein S2,1,yes,,,,,,single-strand binding protein,1,No,,,glucose-6-phosphate 1-dehydrogenase
acyl carrier protein,1,yes,,,,,,50S ribosomal protein L5,0.905882353,Yes,,,,,,50S ribosomal protein L34,1,No,,30S ribosomal protein S14,1,No,,DNA-binding protein HU,1,yes,,30S ribosomal protein S17,1,yes,,,,,,glucose-6-phosphate 1-dehydrogenase,1,No,,,elongation factor Tu
50S ribosomal protein L22,1,yes,,,,,,,,,,,,,,50S ribosomal protein L6,1,Yes,,50S ribosomal protein L34,1,No,,30S ribosomal protein S7,1,yes,,acyl carrier protein,1,yes,,,,,,elongation factor Tu,1,No,,,50S ribosomal protein L23
30S ribosomal protein S14,1,yes,,,,,,,,,,,,,,50S ribosomal protein L14,1,Yes,,30S ribosomal protein S18,1,No,,,,,,50S ribosomal protein L22,1,yes,,,,,,50S ribosomal protein L23,1,No,,,acetyl-CoA carboxylase subunit beta
translation initiation factor IF-1,1,No,,,,,,,,,,,,,,,,,,DNA-binding protein HU,1,No,,,,,,50S ribosomal protein L14,1,yes,,,,,,acetyl-CoA carboxylase subunit beta,1,No,,,diphosphomevalonate decarboxylase
30S ribosomal protein S5,1,No,,,,,,,,,,,,,,,,,,30S ribosomal protein S19,1,No,,,,,,50S ribosomal protein L13,0.933333333,yes,,,,,,diphosphomevalonate decarboxylase,1,No,,,50S ribosomal protein L3 RplC
30S ribosomal protein S12,1,yes,,,,,,,,,,,,,,,,,,50S ribosomal protein L16,1,No,,,,,,50S ribosomal protein L11,0.909090909,yes,,,,,,50S ribosomal protein L3 RplC,1,No,,,30S ribosomal protein S20 RpsT
